product_id,name,slug,description,brand_id,category_id,material_summary,care_summary
101,Riverside Cotton Tee,riverside-cotton-tee,"A clean, everyday crewneck tee with a slightly relaxed fit and durable stitching for repeat wear.",2,1,"100% organic cotton, mid-weight jersey.","Machine wash cold, inside-out; tumble low."
102,Harbor Linen Shirt,harbor-linen-shirt,A button-up that stays airy in warm weather—designed to look crisp or casually rumpled.,1,1,"55% linen / 45% cotton blend, breathable woven.",Cold wash; hang dry; warm iron.
103,Maple Ribbed Long Sleeve,maple-ribbed-long-sleeve,"Soft rib texture with gentle stretch for layering, with a flattering semi-fitted silhouette.",2,1,95% cotton / 5% elastane rib knit.,Machine wash cold; dry flat; do not bleach.
104,Stone Knit Hoodie,stone-knit-hoodie,"A cozy fleece hoodie with clean lines, roomy pockets, and a structured hood that holds its shape.",1,1,80% cotton / 20% recycled polyester fleece.,Wash cold; tumble low; avoid fabric softener.
105,Ivy Wrap Blouse,ivy-wrap-blouse,"An adjustable wrap blouse with a soft drape and subtle sheen—dressy enough for evenings, easy for daytime.",2,1,"100% viscose, lightweight drape.",Gentle wash cold; hang dry; steam to reshape.
106,Willow High-Rise Jeans,willow-high-rise-jeans,High-rise denim with a straight leg and a comfortable hint of stretch for everyday movement.,1,2,"98% cotton / 2% elastane denim, 12oz.",Wash sparingly; cold wash; hang dry.
107,Cove Chino Trousers,cove-chino-trousers,"Classic chinos with a modern taper—smart for work, relaxed for weekends.",2,2,97% cotton / 3% elastane twill.,Machine wash cold; tumble low; iron medium.
108,Dune Linen Shorts,dune-linen-shorts,Light linen shorts with a comfortable elastic back waist and deep pockets.,1,2,"100% linen, garment-washed.",Cold wash; hang dry; warm iron if needed.
109,Brook Joggers,brook-joggers,Soft joggers with a tapered leg and secure zip pocket—built for comfort without looking sloppy.,2,2,"70% cotton / 30% recycled polyester, brushed fleece.",Wash cold; tumble low; avoid high heat.
110,Sage Pleated Skirt,sage-pleated-skirt,"A midi-length pleated skirt that moves beautifully, with a smooth waistband and easy styling.",1,2,"100% recycled polyester, pleated weave.",Hand wash cold; dry flat; steam lightly.
111,Drift Quilted Jacket,drift-quilted-jacket,"Lightweight quilting for transitional weather, with a neat collar and roomy layering fit.",2,3,Shell: 100% recycled nylon; Fill: recycled polyester.,Machine wash cold; line dry; do not iron.
112,Fog Trench Coat,fog-trench-coat,"A classic trench silhouette with storm flap and adjustable belt—polished, practical, and timeless.",1,3,"65% cotton / 35% recycled polyester, water-repellent finish.",Spot clean; dry clean optional.
113,Pine Wool Overcoat,pine-wool-overcoat,Warm wool blend overcoat with a clean front and structured shoulders for a sharp winter look.,1,3,"70% wool / 30% recycled fibers blend, woven.",Dry clean only; brush lint; air between wears.
114,Summit Puffer Vest,summit-puffer-vest,"A versatile puffer vest for layering—light, warm, and easy to pack.",2,3,Shell: 100% recycled nylon; Fill: recycled polyester.,Wash cold; low tumble with tennis balls; air dry.
115,Harbor Fleece Zip,harbor-fleece-zip,Soft fleece zip-up with a stand collar and smooth inner binding to prevent chafing.,2,3,100% recycled polyester fleece.,Wash cold; line dry; do not bleach.
